Area,Age,Sex,Year at 30 June,Value,Flags
"Bay of Plenty Region","Total people, age","Total people, sex","2020",338400,
"Bay of Plenty Region","Total people, age","Total people, sex","2021",343400,
"Gisborne Region","Total people, age","Total people, sex","2000",46100,
"Gisborne Region","Total people, age","Total people, sex","2001",45500,
"Gisborne Region","Total people, age","Total people, sex","2002",45500,
"Gisborne Region","Total people, age","Total people, sex","2003",45800,
"Gisborne Region","Total people, age","Total people, sex","2004",45800,
"Gisborne Region","Total people, age","Total people, sex","2005",45900,
"Gisborne Region","Total people, age","Total people, sex","2006",46000,
"Gisborne Region","Total people, age","Total people, sex","2007",46000,
"Gisborne Region","Total people, age","Total people, sex","2008",46000,
"Gisborne Region","Total people, age","Total people, sex","2009",46300,
"Gisborne Region","Total people, age","Total people, sex","2010",46700,
"Gisborne Region","Total people, age","Total people, sex","2011",46800,
"Gisborne Region","Total people, age","Total people, sex","2012",47000,
"Gisborne Region","Total people, age","Total people, sex","2013",47000,
"Gisborne Region","Total people, age","Total people, sex","2014",47500,
"Gisborne Region","Total people, age","Total people, sex","2015",48100,
"Gisborne Region","Total people, age","Total people, sex","2016",48800,
"Gisborne Region","Total people, age","Total people, sex","2017",49200,
"Gisborne Region","Total people, age","Total people, sex","2018",49500,
"Gisborne Region","Total people, age","Total people, sex","2019",50200,
"Gisborne Region","Total people, age","Total people, sex","2020",51100,
"Gisborne Region","Total people, age","Total people, sex","2021",51500,
"Hawke's Bay Region","Total people, age","Total people, sex","2000",147300,
"Hawke's Bay Region","Total people, age","Total people, sex","2001",147300,
"Hawke's Bay Region","Total people, age","Total people, sex","2002",148500,
"Hawke's Bay Region","Total people, age","Total people, sex","2003",149400,
"Hawke's Bay Region","Total people, age","Total people, sex","2004",150400,
"Hawke's Bay Region","Total people, age","Total people, sex","2005",151200,
"Hawke's Bay Region","Total people, age","Total people, sex","2006",152100,
"Hawke's Bay Region","Total people, age","Total people, sex","2007",152900,
"Hawke's Bay Region","Total people, age","Total people, sex","2008",153500,
"Hawke's Bay Region","Total people, age","Total people, sex","2009",154500,
"Hawke's Bay Region","Total people, age","Total people, sex","2010",156300,
"Hawke's Bay Region","Total people, age","Total people, sex","2011",157300,
"Hawke's Bay Region","Total people, age","Total people, sex","2012",157500,
"Hawke's Bay Region","Total people, age","Total people, sex","2013",158000,
"Hawke's Bay Region","Total people, age","Total people, sex","2014",160800,
"Hawke's Bay Region","Total people, age","Total people, sex","2015",163700,
"Hawke's Bay Region","Total people, age","Total people, sex","2016",166900,
"Hawke's Bay Region","Total people, age","Total people, sex","2017",169700,
"Hawke's Bay Region","Total people, age","Total people, sex","2018",172400,
"Hawke's Bay Region","Total people, age","Total people, sex","2019",174900,
"Hawke's Bay Region","Total people, age","Total people, sex","2020",179700,
"Hawke's Bay Region","Total people, age","Total people, sex","2021",181500,
"Taranaki Region","Total people, age","Total people, sex","2000",106500,
"Taranaki Region","Total people, age","Total people, sex","2001",105700,
"Taranaki Region","Total people, age","Total people, sex","2002",105900,
"Taranaki Region","Total people, age","Total people, sex","2003",106600,
"Taranaki Region","Total people, age","Total people, sex","2004",106800,
"Taranaki Region","Total people, age","Total people, sex","2005",106800,
"Taranaki Region","Total people, age","Total people, sex","2006",107300,
"Taranaki Region","Total people, age","Total people, sex","2007",107600,
"Taranaki Region","Total people, age","Total people, sex","2008",108300,
"Taranaki Region","Total people, age","Total people, sex","2009",109300,
"Taranaki Region","Total people, age","Total people, sex","2010",110700,
"Taranaki Region","Total people, age","Total people, sex","2011",111800,
"Taranaki Region","Total people, age","Total people, sex","2012",112700,
"Taranaki Region","Total people, age","Total people, sex","2013",113600,
"Taranaki Region","Total people, age","Total people, sex","2014",115000,
"Taranaki Region","Total people, age","Total people, sex","2015",116600,
"Taranaki Region","Total people, age","Total people, sex","2016",118500,
"Taranaki Region","Total people, age","Total people, sex","2017",120000,
"Taranaki Region","Total people, age","Total people, sex","2018",121200,
"Taranaki Region","Total people, age","Total people, sex","2019",123100,
"Taranaki Region","Total people, age","Total people, sex","2020",125200,
"Taranaki Region","Total people, age","Total people, sex","2021",126400,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2000",229900,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2001",227500,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2002",227800,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2003",228700,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2004",229200,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2005",228900,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2006",229400,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2007",228700,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2008",228600,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2009",229300,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2010",230400,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2011",231300,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2012",231200,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2013",231200,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2014",234200,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2015",237400,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2016",241100,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2017",244300,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2018",247500,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2019",250600,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2020",254500,
"Manawatū-Whanganui Region","Total people, age","Total people, sex","2021",256500,
"Wellington Region","Total people, age","Total people, sex","2000",437500,
"Wellington Region","Total people, age","Total people, sex","2001",440200,
"Wellington Region","Total people, age","Total people, sex","2002",445800,
"Wellington Region","Total people, age","Total people, sex","2003",452300,
"Wellington Region","Total people, age","Total people, sex","2004",457800,
"Wellington Region","Total people, age","Total people, sex","2005",461600,
"Wellington Region","Total people, age","Total people, sex","2006",466300,
"Wellington Region","Total people, age","Total people, sex","2007",469300,
"Wellington Region","Total people, age","Total people, sex","2008",471800,
"Wellington Region","Total people, age","Total people, sex","2009",475600,
"Wellington Region","Total people, age","Total people, sex","2010",479400,
"Wellington Region","Total people, age","Total people, sex","2011",483400,
"Wellington Region","Total people, age","Total people, sex","2012",485100,
"Wellington Region","Total people, age","Total people, sex","2013",486700,
"Wellington Region","Total people, age","Total people, sex","2014",493800,
"Wellington Region","Total people, age","Total people, sex","2015",501800,
"Wellington Region","Total people, age","Total people, sex","2016",510700,
"Wellington Region","Total people, age","Total people, sex","2017",518300,
"Wellington Region","Total people, age","Total people, sex","2018",525900,
"Wellington Region","Total people, age","Total people, sex","2019",532600,
"Wellington Region","Total people, age","Total people, sex","2020",543000,
"Wellington Region","Total people, age","Total people, sex","2021",547000,
"Tasman Region","Total people, age","Total people, sex","2000",41600,
"Tasman Region","Total people, age","Total people, sex","2001",42400,
"Tasman Region","Total people, age","Total people, sex","2002",43200,
"Tasman Region","Total people, age","Total people, sex","2003",44100,
"Tasman Region","Total people, age","Total people, sex","2004",45000,
"Tasman Region","Total people, age","Total people, sex","2005",45500,
